Category: All categories,
,
Day,ben and jerrys: (United States)
1/1/2021,24
1/2/2021,23
1/3/2021,23
1/4/2021,73
1/5/2021,0
1/6/2021,30
1/7/2021,0
1/8/2021,42
1/9/2021,23
1/10/2021,23
1/11/2021,21
1/12/2021,63
1/13/2021,32
1/14/2021,85
1/15/2021,42
1/16/2021,23
1/17/2021,57
1/18/2021,100
1/19/2021,21
1/20/2021,31
1/21/2021,42
1/22/2021,43
1/23/2021,12
1/24/2021,34
1/25/2021,21
1/26/2021,21
1/27/2021,21
1/28/2021,53
1/29/2021,53
1/30/2021,36
1/31/2021,59
2/1/2021,31
2/2/2021,94
2/3/2021,62
2/4/2021,31
2/5/2021,11
2/6/2021,23
2/7/2021,57
2/8/2021,31
2/9/2021,43
2/10/2021,21
2/11/2021,21
2/12/2021,43
2/13/2021,12
2/14/2021,58
2/15/2021,44
2/16/2021,11
2/17/2021,22
2/18/2021,32
2/19/2021,32
2/20/2021,48
2/21/2021,60
2/22/2021,21
2/23/2021,22
2/24/2021,32
2/25/2021,63
2/26/2021,22
2/27/2021,48
2/28/2021,47
3/1/2021,32
3/2/2021,38
3/3/2021,23
3/4/2021,38
3/5/2021,16
3/6/2021,26
3/7/2021,52
3/8/2021,100
3/9/2021,39
3/10/2021,37
3/11/2021,8
3/12/2021,39
3/13/2021,58
3/14/2021,24
3/15/2021,19
3/16/2021,26
3/17/2021,15
3/18/2021,45
3/19/2021,15
3/20/2021,9
3/21/2021,25
3/22/2021,23
3/23/2021,22
3/24/2021,15
3/25/2021,23
3/26/2021,8
3/27/2021,18
3/28/2021,17
3/29/2021,38
3/30/2021,23
3/31/2021,38
4/1/2021,8
4/2/2021,16
4/3/2021,44
4/4/2021,18
4/5/2021,32
4/6/2021,8
4/7/2021,30
4/8/2021,8
4/9/2021,46
4/10/2021,17
4/11/2021,33
4/12/2021,15
4/13/2021,15
4/14/2021,45
4/15/2021,23
4/16/2021,16
4/17/2021,44
4/18/2021,43
4/19/2021,39
4/20/2021,91
4/21/2021,68
4/22/2021,31
4/23/2021,24
4/24/2021,44
4/25/2021,44
4/26/2021,46
4/27/2021,32
4/28/2021,54
4/29/2021,23
4/30/2021,45
5/1/2021,17
5/2/2021,9
5/3/2021,12
5/4/2021,24
5/5/2021,4
5/6/2021,4
5/7/2021,17
5/8/2021,19
5/9/2021,19
5/10/2021,13
5/11/2021,4
5/12/2021,29
5/13/2021,13
5/14/2021,22
5/15/2021,15
5/16/2021,33
5/17/2021,8
5/18/2021,21
5/19/2021,33
5/20/2021,30
5/21/2021,17
5/22/2021,20
5/23/2021,29
5/24/2021,13
5/25/2021,21
5/26/2021,0
5/27/2021,17
5/28/2021,9
5/29/2021,19
5/30/2021,29
5/31/2021,19
6/1/2021,30
6/2/2021,8
6/3/2021,12
6/4/2021,9
6/5/2021,5
6/6/2021,24
6/7/2021,4
6/8/2021,25
6/9/2021,8
6/10/2021,13
6/11/2021,4
6/12/2021,5
6/13/2021,32
6/14/2021,17
6/15/2021,21
6/16/2021,4
6/17/2021,9
6/18/2021,22
6/19/2021,10
6/20/2021,20
6/21/2021,17
6/22/2021,13
6/23/2021,25
6/24/2021,9
6/25/2021,4
6/26/2021,19
6/27/2021,10
6/28/2021,26
6/29/2021,8
6/30/2021,21
7/1/2021,12
7/2/2021,31
7/3/2021,24
7/4/2021,26
7/5/2021,15
7/6/2021,26
7/7/2021,17
7/8/2021,13
7/9/2021,9
7/10/2021,5
7/11/2021,24
7/12/2021,21
7/13/2021,17
7/14/2021,8
7/15/2021,9
7/16/2021,22
7/17/2021,24
7/18/2021,39
7/19/2021,38
7/20/2021,100
7/21/2021,70
7/22/2021,52
7/23/2021,71
7/24/2021,44
7/25/2021,39
7/26/2021,26
7/27/2021,30
7/28/2021,38
7/29/2021,34
7/30/2021,13
7/31/2021,24
8/1/2021,14
8/2/2021,36
8/3/2021,86
8/4/2021,24
8/5/2021,99
8/6/2021,62
8/7/2021,68
8/8/2021,0
8/9/2021,36
8/10/2021,62
8/11/2021,36
8/12/2021,74
8/13/2021,100
8/14/2021,68
8/15/2021,27
8/16/2021,37
8/17/2021,74
8/18/2021,36
8/19/2021,61
8/20/2021,48
8/21/2021,13
8/22/2021,40
8/23/2021,62
8/24/2021,93
8/25/2021,12
8/26/2021,50
8/27/2021,38
8/28/2021,40
8/29/2021,40
8/30/2021,35
8/31/2021,37
9/1/2021,24
9/2/2021,38
9/3/2021,0
9/4/2021,44
9/5/2021,58
9/6/2021,42
9/7/2021,51
9/8/2021,37
9/9/2021,50
9/10/2021,65
9/11/2021,28
9/12/2021,55
9/13/2021,13
9/14/2021,49
9/15/2021,61
9/16/2021,38
9/17/2021,25
9/18/2021,56
9/19/2021,55
9/20/2021,74
9/21/2021,63
9/22/2021,37
9/23/2021,38
9/24/2021,0
9/25/2021,57
9/26/2021,56
9/27/2021,0
9/28/2021,37
9/29/2021,37
9/30/2021,25
10/1/2021,13
10/2/2021,56
10/3/2021,27
10/4/2021,48
10/5/2021,44
10/6/2021,35
10/7/2021,18
10/8/2021,45
10/9/2021,40
10/10/2021,39
10/11/2021,53
10/12/2021,44
10/13/2021,63
10/14/2021,44
10/15/2021,36
10/16/2021,30
10/17/2021,79
10/18/2021,27
10/19/2021,71
10/20/2021,35
10/21/2021,44
10/22/2021,62
10/23/2021,49
10/24/2021,38
10/25/2021,53
10/26/2021,53
10/27/2021,53
10/28/2021,53
10/29/2021,18
10/30/2021,29
10/31/2021,40
11/1/2021,9
11/2/2021,0
11/3/2021,38
11/4/2021,20
11/5/2021,41
11/6/2021,46
11/7/2021,33
11/8/2021,20
11/9/2021,72
11/10/2021,30
11/11/2021,29
11/12/2021,41
11/13/2021,22
11/14/2021,100
11/15/2021,59
11/16/2021,19
11/17/2021,48
11/18/2021,50
11/19/2021,10
11/20/2021,79
11/21/2021,22
11/22/2021,10
11/23/2021,41
11/24/2021,20
11/25/2021,32
11/26/2021,21
11/27/2021,53
11/28/2021,32
11/29/2021,47
11/30/2021,19
12/1/2021,46
12/2/2021,58
12/3/2021,10
12/4/2021,33
12/5/2021,32
12/6/2021,39
12/7/2021,29
12/8/2021,40
12/9/2021,10
12/10/2021,50
12/11/2021,33
12/12/2021,56
12/13/2021,61
12/14/2021,30
12/15/2021,10
12/16/2021,31
12/17/2021,21
12/18/2021,23
12/19/2021,69
12/20/2021,31
