Category: All categories

Week,ben and jerrys: (United States)
2016-12-25,12
2017-01-01,11
2017-01-08,10
2017-01-15,13
2017-01-22,12
2017-01-29,14
2017-02-05,13
2017-02-12,11
2017-02-19,16
2017-02-26,16
2017-03-05,14
2017-03-12,13
2017-03-19,13
2017-03-26,27
2017-04-02,49
2017-04-09,11
2017-04-16,19
2017-04-23,17
2017-04-30,14
2017-05-07,22
2017-05-14,15
2017-05-21,16
2017-05-28,17
2017-06-04,14
2017-06-11,18
2017-06-18,17
2017-06-25,15
2017-07-02,15
2017-07-09,21
2017-07-16,22
2017-07-23,28
2017-07-30,23
2017-08-06,18
2017-08-13,13
2017-08-20,13
2017-08-27,11
2017-09-03,13
2017-09-10,12
2017-09-17,10
2017-09-24,13
2017-10-01,16
2017-10-08,14
2017-10-15,14
2017-10-22,9
2017-10-29,9
2017-11-05,16
2017-11-12,12
2017-11-19,13
2017-11-26,8
2017-12-03,15
2017-12-10,12
2017-12-17,8
2017-12-24,12
2017-12-31,10
2018-01-07,10
2018-01-14,16
2018-01-21,19
2018-01-28,13
2018-02-04,18
2018-02-11,12
2018-02-18,17
2018-02-25,11
2018-03-04,15
2018-03-11,14
2018-03-18,14
2018-03-25,16
2018-04-01,14
2018-04-08,45
2018-04-15,21
2018-04-22,15
2018-04-29,12
2018-05-06,20
2018-05-13,18
2018-05-20,15
2018-05-27,17
2018-06-03,20
2018-06-10,15
2018-06-17,13
2018-06-24,23
2018-07-01,21
2018-07-08,19
2018-07-15,13
2018-07-22,14
2018-07-29,15
2018-08-05,17
2018-08-12,17
2018-08-19,15
2018-08-26,18
2018-09-02,17
2018-09-09,11
2018-09-16,16
2018-09-23,13
2018-09-30,12
2018-10-07,15
2018-10-14,7
2018-10-21,10
2018-10-28,20
2018-11-04,22
2018-11-11,12
2018-11-18,4
2018-11-25,10
2018-12-02,8
2018-12-09,10
2018-12-16,12
2018-12-23,8
2018-12-30,10
2019-01-06,8
2019-01-13,12
2019-01-20,13
2019-01-27,14
2019-02-03,11
2019-02-10,11
2019-02-17,11
2019-02-24,15
2019-03-03,12
2019-03-10,15
2019-03-17,15
2019-03-24,18
2019-03-31,16
2019-04-07,44
2019-04-14,17
2019-04-21,18
2019-04-28,15
2019-05-05,16
2019-05-12,19
2019-05-19,19
2019-05-26,14
2019-06-02,14
2019-06-09,20
2019-06-16,20
2019-06-23,24
2019-06-30,10
2019-07-07,21
2019-07-14,16
2019-07-21,27
2019-07-28,13
2019-08-04,11
2019-08-11,15
2019-08-18,13
2019-08-25,14
2019-09-01,15
2019-09-08,10
2019-09-15,11
2019-09-22,11
2019-09-29,9
2019-10-06,9
2019-10-13,9
2019-10-20,13
2019-10-27,11
2019-11-03,8
2019-11-10,16
2019-11-17,7
2019-11-24,8
2019-12-01,8
2019-12-08,10
2019-12-15,6
2019-12-22,5
2019-12-29,8
2020-01-05,12
2020-01-12,15
2020-01-19,13
2020-01-26,13
2020-02-02,13
2020-02-09,16
2020-02-16,13
2020-02-23,14
2020-03-01,13
2020-03-08,13
2020-03-15,9
2020-03-22,14
2020-03-29,12
2020-04-05,10
2020-04-12,12
2020-04-19,15
2020-04-26,17
2020-05-03,13
2020-05-10,14
2020-05-17,32
2020-05-24,33
2020-05-31,100
2020-06-07,62
2020-06-14,36
2020-06-21,28
2020-06-28,25
2020-07-05,23
2020-07-12,17
2020-07-19,36
2020-07-26,25
2020-08-02,14
2020-08-09,19
2020-08-16,20
2020-08-23,16
2020-08-30,16
2020-09-06,17
2020-09-13,16
2020-09-20,12
2020-09-27,12
2020-10-04,15
2020-10-11,9
2020-10-18,14
2020-10-25,8
2020-11-01,8
2020-11-08,14
2020-11-15,6
2020-11-22,11
2020-11-29,11
2020-12-06,17
2020-12-13,15
2020-12-20,10
2020-12-27,11
2021-01-03,12
2021-01-10,17
2021-01-17,16
2021-01-24,17
2021-01-31,13
2021-02-07,11
2021-02-14,16
2021-02-21,16
2021-02-28,9
2021-03-07,20
2021-03-14,11
2021-03-21,11
2021-03-28,16
2021-04-04,15
2021-04-11,18
2021-04-18,22
2021-04-25,13
2021-05-02,11
2021-05-09,13
2021-05-16,16
2021-05-23,13
2021-05-30,13
2021-06-06,19
2021-06-13,18
2021-06-20,19
2021-06-27,17
2021-07-04,15
2021-07-11,21
2021-07-18,62
2021-07-25,19
2021-08-01,20
2021-08-08,16
2021-08-15,10
2021-08-22,13
2021-08-29,12
2021-09-05,16
2021-09-12,17
2021-09-19,17
2021-09-26,13
2021-10-03,10
2021-10-10,18
2021-10-17,16
2021-10-24,10
2021-10-31,8
2021-11-07,14
2021-11-14,10
2021-11-21,12
2021-11-28,14
2021-12-05,10
2021-12-12,11
2021-12-19,16
