Category: All categories

Day,frozen yogurt: (United States)
2021-05-01,70
2021-05-02,90
2021-05-03,64
2021-05-04,43
2021-05-05,62
2021-05-06,52
2021-05-07,45
2021-05-08,69
2021-05-09,89
2021-05-10,48
2021-05-11,36
2021-05-12,55
2021-05-13,42
2021-05-14,48
2021-05-15,84
2021-05-16,69
2021-05-17,49
2021-05-18,58
2021-05-19,47
2021-05-20,59
2021-05-21,56
2021-05-22,88
2021-05-23,89
2021-05-24,43
2021-05-25,54
2021-05-26,54
2021-05-27,65
2021-05-28,66
2021-05-29,66
2021-05-30,75
2021-05-31,72
2021-06-01,63
2021-06-02,43
2021-06-03,53
2021-06-04,69
2021-06-05,85
2021-06-06,96
2021-06-07,55
2021-06-08,40
2021-06-09,62
2021-06-10,60
2021-06-11,52
2021-06-12,100
2021-06-13,86
2021-06-14,63
2021-06-15,42
2021-06-16,62
2021-06-17,44
2021-06-18,80
2021-06-19,77
2021-06-20,80
2021-06-21,73
2021-06-22,71
2021-06-23,57
2021-06-24,71
2021-06-25,60
2021-06-26,81
2021-06-27,99
2021-06-28,64
2021-06-29,52
2021-06-30,67
2021-07-01,47
2021-07-02,43
2021-07-03,75
2021-07-04,91
2021-07-05,76
2021-07-06,70
2021-07-07,57
2021-07-08,39
2021-07-09,58
2021-07-10,64
2021-07-11,97
2021-07-12,65
2021-07-13,33
2021-07-14,46
2021-07-15,48
2021-07-16,53
2021-07-17,71
2021-07-18,80
2021-07-19,40
2021-07-20,43
2021-07-21,52
2021-07-22,58
2021-07-23,60
2021-07-24,90
2021-07-25,96
2021-07-26,68
2021-07-27,54
2021-07-28,79
2021-07-29,39
2021-07-30,54
2021-07-31,92
2021-08-01,85
2021-08-02,58
2021-08-03,46
2021-08-04,38
2021-08-05,46
2021-08-06,60
2021-08-07,76
2021-08-08,86
2021-08-09,58
2021-08-10,63
2021-08-11,47
2021-08-12,64
2021-08-13,52
2021-08-14,62
2021-08-15,90
2021-08-16,58
2021-08-17,38
2021-08-18,58
2021-08-19,50
2021-08-20,42
2021-08-21,57
2021-08-22,73
2021-08-23,38
2021-08-24,45
2021-08-25,35
2021-08-26,30
2021-08-27,44
2021-08-28,52
2021-08-29,66
2021-08-30,44
