Category: All categories

Week,frozen yogurt: (United States)
2016-12-25,41
2017-01-01,43
2017-01-08,42
2017-01-15,52
2017-01-22,53
2017-01-29,51
2017-02-05,64
2017-02-12,54
2017-02-19,70
2017-02-26,53
2017-03-05,59
2017-03-12,67
2017-03-19,65
2017-03-26,55
2017-04-02,66
2017-04-09,71
2017-04-16,69
2017-04-23,64
2017-04-30,67
2017-05-07,73
2017-05-14,77
2017-05-21,69
2017-05-28,82
2017-06-04,85
2017-06-11,82
2017-06-18,89
2017-06-25,87
2017-07-02,100
2017-07-09,81
2017-07-16,79
2017-07-23,84
2017-07-30,67
2017-08-06,68
2017-08-13,64
2017-08-20,63
2017-08-27,57
2017-09-03,57
2017-09-10,50
2017-09-17,50
2017-09-24,50
2017-10-01,40
2017-10-08,47
2017-10-15,46
2017-10-22,47
2017-10-29,32
2017-11-05,32
2017-11-12,35
2017-11-19,32
2017-11-26,29
2017-12-03,29
2017-12-10,24
2017-12-17,33
2017-12-24,34
2017-12-31,35
2018-01-07,44
2018-01-14,50
2018-01-21,44
2018-01-28,52
2018-02-04,65
2018-02-11,47
2018-02-18,62
2018-02-25,58
2018-03-04,55
2018-03-11,58
2018-03-18,53
2018-03-25,63
2018-04-01,56
2018-04-08,60
2018-04-15,55
2018-04-22,63
2018-04-29,64
2018-05-06,59
2018-05-13,67
2018-05-20,65
2018-05-27,81
2018-06-03,82
2018-06-10,77
2018-06-17,75
2018-06-24,81
2018-07-01,86
2018-07-08,85
2018-07-15,81
2018-07-22,76
2018-07-29,69
2018-08-05,71
2018-08-12,70
2018-08-19,59
2018-08-26,59
2018-09-02,58
2018-09-09,40
2018-09-16,53
2018-09-23,47
2018-09-30,42
2018-10-07,46
2018-10-14,38
2018-10-21,37
2018-10-28,32
2018-11-04,37
2018-11-11,31
2018-11-18,33
2018-11-25,26
2018-12-02,28
2018-12-09,31
2018-12-16,32
2018-12-23,33
2018-12-30,48
2019-01-06,41
2019-01-13,43
2019-01-20,45
2019-01-27,42
2019-02-03,53
2019-02-10,43
2019-02-17,52
2019-02-24,48
2019-03-03,52
2019-03-10,61
2019-03-17,67
2019-03-24,66
2019-03-31,74
2019-04-07,57
2019-04-14,64
2019-04-21,59
2019-04-28,59
2019-05-05,59
2019-05-12,64
2019-05-19,71
2019-05-26,71
2019-06-02,66
2019-06-09,76
2019-06-16,75
2019-06-23,80
2019-06-30,82
2019-07-07,76
2019-07-14,88
2019-07-21,78
2019-07-28,82
2019-08-04,75
2019-08-11,71
2019-08-18,61
2019-08-25,49
2019-09-01,56
2019-09-08,46
2019-09-15,48
2019-09-22,47
2019-09-29,44
2019-10-06,42
2019-10-13,32
2019-10-20,37
2019-10-27,29
2019-11-03,37
2019-11-10,39
2019-11-17,36
2019-11-24,35
2019-12-01,25
2019-12-08,30
2019-12-15,29
2019-12-22,36
2019-12-29,46
2020-01-05,41
2020-01-12,47
2020-01-19,47
2020-01-26,38
2020-02-02,49
2020-02-09,39
2020-02-16,49
2020-02-23,47
2020-03-01,45
2020-03-08,54
2020-03-15,30
2020-03-22,26
2020-03-29,19
2020-04-05,27
2020-04-12,23
2020-04-19,27
2020-04-26,35
2020-05-03,38
2020-05-10,44
2020-05-17,46
2020-05-24,58
2020-05-31,48
2020-06-07,66
2020-06-14,66
2020-06-21,60
2020-06-28,55
2020-07-05,59
2020-07-12,66
2020-07-19,68
2020-07-26,63
2020-08-02,54
2020-08-09,53
2020-08-16,52
2020-08-23,54
2020-08-30,48
2020-09-06,47
2020-09-13,43
2020-09-20,39
2020-09-27,40
2020-10-04,37
2020-10-11,36
2020-10-18,34
2020-10-25,33
2020-11-01,23
2020-11-08,38
2020-11-15,26
2020-11-22,32
2020-11-29,25
2020-12-06,26
2020-12-13,25
2020-12-20,21
2020-12-27,36
2021-01-03,35
2021-01-10,39
2021-01-17,45
2021-01-24,35
2021-01-31,39
2021-02-07,40
2021-02-14,40
2021-02-21,49
2021-02-28,49
2021-03-07,51
2021-03-14,53
2021-03-21,57
2021-03-28,55
2021-04-04,66
2021-04-11,59
2021-04-18,70
2021-04-25,64
2021-05-02,67
2021-05-09,69
2021-05-16,52
2021-05-23,71
2021-05-30,70
2021-06-06,74
2021-06-13,82
2021-06-20,80
2021-06-27,65
2021-07-04,69
2021-07-11,70
2021-07-18,70
2021-07-25,75
2021-08-01,66
2021-08-08,63
2021-08-15,64
2021-08-22,52
2021-08-29,48
2021-09-05,56
2021-09-12,47
2021-09-19,46
2021-09-26,40
2021-10-03,35
2021-10-10,32
2021-10-17,29
2021-10-24,26
2021-10-31,28
2021-11-07,29
2021-11-14,26
2021-11-21,24
2021-11-28,23
2021-12-05,22
2021-12-12,27
2021-12-19,29
