Category: All categories

Day,ice cream: (United States)
2021-05-01,57
2021-05-02,64
2021-05-03,42
2021-05-04,42
2021-05-05,39
2021-05-06,43
2021-05-07,39
2021-05-08,52
2021-05-09,62
2021-05-10,40
2021-05-11,37
2021-05-12,36
2021-05-13,39
2021-05-14,43
2021-05-15,58
2021-05-16,63
2021-05-17,48
2021-05-18,42
2021-05-19,40
2021-05-20,46
2021-05-21,51
2021-05-22,67
2021-05-23,68
2021-05-24,47
2021-05-25,51
2021-05-26,48
2021-05-27,52
2021-05-28,47
2021-05-29,61
2021-05-30,69
2021-05-31,72
2021-06-01,50
2021-06-02,45
2021-06-03,43
2021-06-04,49
2021-06-05,69
2021-06-06,76
2021-06-07,46
2021-06-08,50
2021-06-09,48
2021-06-10,54
2021-06-11,55
2021-06-12,63
2021-06-13,70
2021-06-14,55
2021-06-15,48
2021-06-16,57
2021-06-17,52
2021-06-18,56
2021-06-19,72
2021-06-20,79
2021-06-21,51
2021-06-22,47
2021-06-23,53
2021-06-24,48
2021-06-25,49
2021-06-26,70
2021-06-27,81
2021-06-28,60
2021-06-29,53
2021-06-30,51
2021-07-01,56
2021-07-02,55
2021-07-03,73
2021-07-04,79
2021-07-05,79
2021-07-06,55
2021-07-07,45
2021-07-08,48
2021-07-09,53
2021-07-10,63
2021-07-11,64
2021-07-12,54
2021-07-13,53
2021-07-14,60
2021-07-15,58
2021-07-16,59
2021-07-17,68
2021-07-18,100
2021-07-19,64
2021-07-20,53
2021-07-21,54
2021-07-22,50
2021-07-23,55
2021-07-24,69
2021-07-25,71
2021-07-26,50
2021-07-27,51
2021-07-28,46
2021-07-29,46
2021-07-30,48
2021-07-31,61
2021-08-01,70
2021-08-02,50
2021-08-03,45
2021-08-04,43
2021-08-05,47
2021-08-06,52
2021-08-07,63
2021-08-08,68
2021-08-09,46
2021-08-10,50
2021-08-11,46
2021-08-12,47
2021-08-13,47
2021-08-14,57
2021-08-15,68
2021-08-16,44
2021-08-17,39
2021-08-18,46
2021-08-19,44
2021-08-20,47
2021-08-21,56
2021-08-22,63
2021-08-23,43
2021-08-24,41
2021-08-25,38
2021-08-26,41
2021-08-27,44
2021-08-28,50
2021-08-29,60
2021-08-30,39
