Category: All categories,
,
Day,icecream: (United States)
1/1/2021,56
1/2/2021,50
1/3/2021,40
1/4/2021,32
1/5/2021,23
1/6/2021,17
1/7/2021,51
1/8/2021,27
1/9/2021,51
1/10/2021,65
1/11/2021,68
1/12/2021,18
1/13/2021,23
1/14/2021,37
1/15/2021,46
1/16/2021,82
1/17/2021,100
1/18/2021,77
1/19/2021,87
1/20/2021,59
1/21/2021,28
1/22/2021,46
1/23/2021,77
1/24/2021,50
1/25/2021,32
1/26/2021,37
1/27/2021,45
1/28/2021,50
1/29/2021,70
1/30/2021,52
1/31/2021,57
2/1/2021,64
2/2/2021,14
2/3/2021,50
2/4/2021,23
2/5/2021,76
2/6/2021,81
2/7/2021,50
2/8/2021,59
2/9/2021,66
2/10/2021,45
2/11/2021,85
2/12/2021,71
2/13/2021,92
2/14/2021,51
2/15/2021,68
2/16/2021,33
2/17/2021,28
2/18/2021,67
2/19/2021,67
2/20/2021,73
2/21/2021,69
2/22/2021,41
2/23/2021,71
2/24/2021,92
2/25/2021,56
2/26/2021,57
2/27/2021,53
2/28/2021,83
3/1/2021,56
3/2/2021,70
3/3/2021,60
3/4/2021,56
3/5/2021,72
3/6/2021,80
3/7/2021,79
3/8/2021,94
3/9/2021,48
3/10/2021,73
3/11/2021,42
3/12/2021,76
3/13/2021,50
3/14/2021,54
3/15/2021,65
3/16/2021,32
3/17/2021,50
3/18/2021,60
3/19/2021,60
3/20/2021,99
3/21/2021,83
3/22/2021,78
3/23/2021,41
3/24/2021,54
3/25/2021,46
3/26/2021,48
3/27/2021,54
3/28/2021,52
3/29/2021,61
3/30/2021,71
3/31/2021,82
4/1/2021,52
4/2/2021,42
4/3/2021,50
4/4/2021,55
4/5/2021,52
4/6/2021,13
4/7/2021,42
4/8/2021,33
4/9/2021,56
4/10/2021,55
4/11/2021,88
4/12/2021,46
4/13/2021,63
4/14/2021,46
4/15/2021,42
4/16/2021,41
4/17/2021,15
4/18/2021,72
4/19/2021,60
4/20/2021,53
4/21/2021,43
4/22/2021,47
4/23/2021,69
4/24/2021,50
4/25/2021,49
4/26/2021,50
4/27/2021,34
4/28/2021,43
4/29/2021,70
4/30/2021,71
5/1/2021,60
5/2/2021,76
5/3/2021,56
5/4/2021,45
5/5/2021,46
5/6/2021,56
5/7/2021,45
5/8/2021,86
5/9/2021,61
5/10/2021,61
5/11/2021,33
5/12/2021,66
5/13/2021,64
5/14/2021,75
5/15/2021,63
5/16/2021,54
5/17/2021,40
5/18/2021,43
5/19/2021,53
5/20/2021,55
5/21/2021,41
5/22/2021,39
5/23/2021,93
5/24/2021,44
5/25/2021,55
5/26/2021,40
5/27/2021,58
5/28/2021,55
5/29/2021,54
5/30/2021,100
5/31/2021,88
6/1/2021,48
6/2/2021,33
6/3/2021,46
6/4/2021,69
6/5/2021,51
6/6/2021,80
6/7/2021,59
6/8/2021,60
6/9/2021,47
6/10/2021,51
6/11/2021,77
6/12/2021,62
6/13/2021,77
6/14/2021,73
6/15/2021,44
6/16/2021,84
6/17/2021,73
6/18/2021,71
6/19/2021,73
6/20/2021,75
6/21/2021,62
6/22/2021,51
6/23/2021,34
6/24/2021,83
6/25/2021,66
6/26/2021,90
6/27/2021,81
6/28/2021,65
6/29/2021,41
6/30/2021,54
7/1/2021,57
7/2/2021,80
7/3/2021,94
7/4/2021,71
7/5/2021,97
7/6/2021,41
7/7/2021,40
7/8/2021,56
7/9/2021,67
7/10/2021,85
7/11/2021,69
7/12/2021,69
7/13/2021,56
7/14/2021,64
7/15/2021,89
7/16/2021,47
7/17/2021,74
7/18/2021,100
7/19/2021,62
7/20/2021,58
7/21/2021,55
7/22/2021,61
7/23/2021,45
7/24/2021,89
7/25/2021,70
7/26/2021,53
7/27/2021,60
7/28/2021,59
7/29/2021,53
7/30/2021,47
7/31/2021,35
8/1/2021,61
8/2/2021,71
8/3/2021,38
8/4/2021,57
8/5/2021,44
8/6/2021,61
8/7/2021,60
8/8/2021,91
8/9/2021,46
8/10/2021,38
8/11/2021,59
8/12/2021,42
8/13/2021,58
8/14/2021,70
8/15/2021,46
8/16/2021,44
8/17/2021,22
8/18/2021,46
8/19/2021,47
8/20/2021,52
8/21/2021,73
8/22/2021,38
8/23/2021,58
8/24/2021,34
8/25/2021,49
8/26/2021,23
8/27/2021,45
8/28/2021,39
8/29/2021,51
8/30/2021,40
8/31/2021,50
9/1/2021,37
9/2/2021,29
9/3/2021,47
9/4/2021,64
9/5/2021,65
9/6/2021,73
9/7/2021,40
9/8/2021,32
9/9/2021,16
9/10/2021,50
9/11/2021,62
9/12/2021,93
9/13/2021,49
9/14/2021,42
9/15/2021,31
9/16/2021,33
9/17/2021,43
9/18/2021,44
9/19/2021,46
9/20/2021,65
9/21/2021,36
9/22/2021,45
9/23/2021,52
9/24/2021,30
9/25/2021,41
9/26/2021,47
9/27/2021,26
9/28/2021,16
9/29/2021,48
9/30/2021,39
10/1/2021,33
10/2/2021,69
10/3/2021,81
10/4/2021,34
10/5/2021,56
10/6/2021,56
10/7/2021,72
10/8/2021,84
10/9/2021,80
10/10/2021,92
10/11/2021,92
10/12/2021,44
10/13/2021,64
10/14/2021,59
10/15/2021,64
10/16/2021,70
10/17/2021,99
10/18/2021,90
10/19/2021,60
10/20/2021,71
10/21/2021,68
10/22/2021,60
10/23/2021,63
10/24/2021,95
10/25/2021,53
10/26/2021,49
10/27/2021,46
10/28/2021,53
10/29/2021,50
10/30/2021,57
10/31/2021,74
11/1/2021,42
11/2/2021,40
11/3/2021,65
11/4/2021,69
11/5/2021,45
11/6/2021,67
11/7/2021,59
11/8/2021,70
11/9/2021,64
11/10/2021,49
11/11/2021,55
11/12/2021,53
11/13/2021,44
11/14/2021,69
11/15/2021,59
11/16/2021,56
11/17/2021,48
11/18/2021,57
11/19/2021,57
11/20/2021,80
11/21/2021,87
11/22/2021,47
11/23/2021,41
11/24/2021,60
11/25/2021,57
11/26/2021,55
