Category: All categories

Day,icecream: (United States)
2021-05-01,50
2021-05-02,50
2021-05-03,36
2021-05-04,43
2021-05-05,41
2021-05-06,47
2021-05-07,27
2021-05-08,73
2021-05-09,48
2021-05-10,56
2021-05-11,18
2021-05-12,47
2021-05-13,56
2021-05-14,49
2021-05-15,59
2021-05-16,64
2021-05-17,39
2021-05-18,43
2021-05-19,39
2021-05-20,43
2021-05-21,35
2021-05-22,43
2021-05-23,69
2021-05-24,50
2021-05-25,49
2021-05-26,40
2021-05-27,46
2021-05-28,47
2021-05-29,48
2021-05-30,55
2021-05-31,98
2021-06-01,46
2021-06-02,20
2021-06-03,37
2021-06-04,60
2021-06-05,46
2021-06-06,45
2021-06-07,44
2021-06-08,48
2021-06-09,26
2021-06-10,38
2021-06-11,47
2021-06-12,61
2021-06-13,38
2021-06-14,34
2021-06-15,51
2021-06-16,58
2021-06-17,38
2021-06-18,61
2021-06-19,60
2021-06-20,71
2021-06-21,54
2021-06-22,40
2021-06-23,35
2021-06-24,65
2021-06-25,38
2021-06-26,52
2021-06-27,65
2021-06-28,65
2021-06-29,59
2021-06-30,50
2021-07-01,44
2021-07-02,52
2021-07-03,69
2021-07-04,70
2021-07-05,52
2021-07-06,38
2021-07-07,36
2021-07-08,40
2021-07-09,47
2021-07-10,36
2021-07-11,41
2021-07-12,40
2021-07-13,41
2021-07-14,37
2021-07-15,54
2021-07-16,49
2021-07-17,60
2021-07-18,66
2021-07-19,61
2021-07-20,43
2021-07-21,49
2021-07-22,36
2021-07-23,44
2021-07-24,100
2021-07-25,67
2021-07-26,37
2021-07-27,59
2021-07-28,32
2021-07-29,32
2021-07-30,32
2021-07-31,51
2021-08-01,59
2021-08-02,32
2021-08-03,43
2021-08-04,53
2021-08-05,46
2021-08-06,47
2021-08-07,72
2021-08-08,82
2021-08-09,64
2021-08-10,52
2021-08-11,35
2021-08-12,44
2021-08-13,30
2021-08-14,73
2021-08-15,49
2021-08-16,27
2021-08-17,49
2021-08-18,29
2021-08-19,35
2021-08-20,37
2021-08-21,59
2021-08-22,44
2021-08-23,36
2021-08-24,30
2021-08-25,37
2021-08-26,50
2021-08-27,36
2021-08-28,39
2021-08-29,35
2021-08-30,45
