Category: All categories

Week,ice cream: (United States)
2016-12-25,31
2017-01-01,31
2017-01-08,31
2017-01-15,33
2017-01-22,33
2017-01-29,36
2017-02-05,32
2017-02-12,35
2017-02-19,38
2017-02-26,36
2017-03-05,38
2017-03-12,39
2017-03-19,43
2017-03-26,45
2017-04-02,45
2017-04-09,51
2017-04-16,47
2017-04-23,49
2017-04-30,51
2017-05-07,52
2017-05-14,57
2017-05-21,57
2017-05-28,65
2017-06-04,62
2017-06-11,67
2017-06-18,70
2017-06-25,67
2017-07-02,86
2017-07-09,73
2017-07-16,85
2017-07-23,67
2017-07-30,66
2017-08-06,61
2017-08-13,58
2017-08-20,53
2017-08-27,48
2017-09-03,45
2017-09-10,41
2017-09-17,42
2017-09-24,40
2017-10-01,37
2017-10-08,37
2017-10-15,37
2017-10-22,34
2017-10-29,30
2017-11-05,33
2017-11-12,31
2017-11-19,37
2017-11-26,30
2017-12-03,32
2017-12-10,33
2017-12-17,33
2017-12-24,34
2017-12-31,33
2018-01-07,34
2018-01-14,36
2018-01-21,37
2018-01-28,36
2018-02-04,37
2018-02-11,37
2018-02-18,38
2018-02-25,39
2018-03-04,42
2018-03-11,49
2018-03-18,50
2018-03-25,50
2018-04-01,48
2018-04-08,48
2018-04-15,48
2018-04-22,53
2018-04-29,56
2018-05-06,58
2018-05-13,55
2018-05-20,70
2018-05-27,74
2018-06-03,70
2018-06-10,71
2018-06-17,74
2018-06-24,70
2018-07-01,84
2018-07-08,73
2018-07-15,81
2018-07-22,69
2018-07-29,66
2018-08-05,65
2018-08-12,59
2018-08-19,55
2018-08-26,53
2018-09-02,50
2018-09-09,41
2018-09-16,42
2018-09-23,40
2018-09-30,38
2018-10-07,37
2018-10-14,34
2018-10-21,32
2018-10-28,31
2018-11-04,32
2018-11-11,33
2018-11-18,33
2018-11-25,30
2018-12-02,32
2018-12-09,31
2018-12-16,32
2018-12-23,33
2018-12-30,37
2019-01-06,35
2019-01-13,36
2019-01-20,38
2019-01-27,43
2019-02-03,37
2019-02-10,36
2019-02-17,38
2019-02-24,38
2019-03-03,39
2019-03-10,46
2019-03-17,49
2019-03-24,52
2019-03-31,51
2019-04-07,50
2019-04-14,52
2019-04-21,48
2019-04-28,51
2019-05-05,55
2019-05-12,57
2019-05-19,61
2019-05-26,67
2019-06-02,67
2019-06-09,70
2019-06-16,71
2019-06-23,74
2019-06-30,100
2019-07-07,85
2019-07-14,80
2019-07-21,84
2019-07-28,70
2019-08-04,66
2019-08-11,62
2019-08-18,57
2019-08-25,49
2019-09-01,50
2019-09-08,41
2019-09-15,41
2019-09-22,43
2019-09-29,42
2019-10-06,38
2019-10-13,38
2019-10-20,36
2019-10-27,30
2019-11-03,32
2019-11-10,36
2019-11-17,33
2019-11-24,35
2019-12-01,29
2019-12-08,31
2019-12-15,32
2019-12-22,39
2019-12-29,40
2020-01-05,37
2020-01-12,38
2020-01-19,41
2020-01-26,40
2020-02-02,39
2020-02-09,42
2020-02-16,44
2020-02-23,42
2020-03-01,43
2020-03-08,39
2020-03-15,35
2020-03-22,38
2020-03-29,39
2020-04-05,43
2020-04-12,44
2020-04-19,56
2020-04-26,54
2020-05-03,58
2020-05-10,62
2020-05-17,62
2020-05-24,70
2020-05-31,61
2020-06-07,72
2020-06-14,72
2020-06-21,74
2020-06-28,78
2020-07-05,74
2020-07-12,74
2020-07-19,83
2020-07-26,73
2020-08-02,66
2020-08-09,67
2020-08-16,62
2020-08-23,61
2020-08-30,58
2020-09-06,55
2020-09-13,46
2020-09-20,46
2020-09-27,42
2020-10-04,42
2020-10-11,44
2020-10-18,41
2020-10-25,35
2020-11-01,28
2020-11-08,37
2020-11-15,35
2020-11-22,37
2020-11-29,32
2020-12-06,35
2020-12-13,34
2020-12-20,33
2020-12-27,36
2021-01-03,36
2021-01-10,42
2021-01-17,41
2021-01-24,39
2021-01-31,41
2021-02-07,39
2021-02-14,42
2021-02-21,40
2021-02-28,46
2021-03-07,47
2021-03-14,47
2021-03-21,57
2021-03-28,53
2021-04-04,54
2021-04-11,51
2021-04-18,54
2021-04-25,58
2021-05-02,60
2021-05-09,59
2021-05-16,63
2021-05-23,66
2021-05-30,73
2021-06-06,74
2021-06-13,75
2021-06-20,76
2021-06-27,82
2021-07-04,80
2021-07-11,75
2021-07-18,84
2021-07-25,71
2021-08-01,68
2021-08-08,68
2021-08-15,63
2021-08-22,60
2021-08-29,55
2021-09-05,56
2021-09-12,50
2021-09-19,48
2021-09-26,44
2021-10-03,53
2021-10-10,58
2021-10-17,51
2021-10-24,48
2021-10-31,47
2021-11-07,49
2021-11-14,47
2021-11-21,50
2021-11-28,42
2021-12-05,44
2021-12-12,46
2021-12-19,51
