Category: All categories

Week,icecream: (United States)
2016-12-25,45
2017-01-01,47
2017-01-08,39
2017-01-15,54
2017-01-22,53
2017-01-29,47
2017-02-05,51
2017-02-12,64
2017-02-19,49
2017-02-26,43
2017-03-05,74
2017-03-12,61
2017-03-19,61
2017-03-26,67
2017-04-02,79
2017-04-09,76
2017-04-16,63
2017-04-23,67
2017-04-30,73
2017-05-07,68
2017-05-14,75
2017-05-21,76
2017-05-28,89
2017-06-04,84
2017-06-11,86
2017-06-18,89
2017-06-25,71
2017-07-02,94
2017-07-09,87
2017-07-16,100
2017-07-23,88
2017-07-30,67
2017-08-06,70
2017-08-13,74
2017-08-20,55
2017-08-27,55
2017-09-03,54
2017-09-10,45
2017-09-17,48
2017-09-24,48
2017-10-01,50
2017-10-08,62
2017-10-15,50
2017-10-22,49
2017-10-29,46
2017-11-05,55
2017-11-12,68
2017-11-19,47
2017-11-26,42
2017-12-03,49
2017-12-10,44
2017-12-17,35
2017-12-24,42
2017-12-31,38
2018-01-07,50
2018-01-14,35
2018-01-21,51
2018-01-28,56
2018-02-04,41
2018-02-11,45
2018-02-18,43
2018-02-25,58
2018-03-04,55
2018-03-11,62
2018-03-18,73
2018-03-25,78
2018-04-01,53
2018-04-08,66
2018-04-15,52
2018-04-22,73
2018-04-29,75
2018-05-06,79
2018-05-13,66
2018-05-20,82
2018-05-27,86
2018-06-03,77
2018-06-10,77
2018-06-17,87
2018-06-24,83
2018-07-01,88
2018-07-08,92
2018-07-15,95
2018-07-22,79
2018-07-29,80
2018-08-05,71
2018-08-12,61
2018-08-19,69
2018-08-26,71
2018-09-02,59
2018-09-09,47
2018-09-16,51
2018-09-23,52
2018-09-30,45
2018-10-07,47
2018-10-14,52
2018-10-21,44
2018-10-28,42
2018-11-04,39
2018-11-11,37
2018-11-18,35
2018-11-25,46
2018-12-02,48
2018-12-09,43
2018-12-16,32
2018-12-23,44
2018-12-30,41
2019-01-06,45
2019-01-13,42
2019-01-20,44
2019-01-27,55
2019-02-03,48
2019-02-10,43
2019-02-17,44
2019-02-24,61
2019-03-03,50
2019-03-10,54
2019-03-17,54
2019-03-24,50
2019-03-31,63
2019-04-07,68
2019-04-14,64
2019-04-21,56
2019-04-28,59
2019-05-05,48
2019-05-12,67
2019-05-19,67
2019-05-26,81
2019-06-02,86
2019-06-09,73
2019-06-16,71
2019-06-23,72
2019-06-30,99
2019-07-07,85
2019-07-14,66
2019-07-21,86
2019-07-28,66
2019-08-04,66
2019-08-11,61
2019-08-18,62
2019-08-25,49
2019-09-01,49
2019-09-08,56
2019-09-15,57
2019-09-22,51
2019-09-29,60
2019-10-06,47
2019-10-13,36
2019-10-20,36
2019-10-27,39
2019-11-03,37
2019-11-10,39
2019-11-17,46
2019-11-24,40
2019-12-01,37
2019-12-08,47
2019-12-15,35
2019-12-22,35
2019-12-29,35
2020-01-05,40
2020-01-12,40
2020-01-19,48
2020-01-26,44
2020-02-02,48
2020-02-09,50
2020-02-16,46
2020-02-23,52
2020-03-01,54
2020-03-08,42
2020-03-15,39
2020-03-22,47
2020-03-29,48
2020-04-05,51
2020-04-12,46
2020-04-19,62
2020-04-26,58
2020-05-03,58
2020-05-10,60
2020-05-17,70
2020-05-24,91
2020-05-31,61
2020-06-07,79
2020-06-14,87
2020-06-21,84
2020-06-28,76
2020-07-05,75
2020-07-12,85
2020-07-19,90
2020-07-26,72
2020-08-02,64
2020-08-09,65
2020-08-16,67
2020-08-23,69
2020-08-30,62
2020-09-06,67
2020-09-13,54
2020-09-20,57
2020-09-27,58
2020-10-04,41
2020-10-11,46
2020-10-18,44
2020-10-25,42
2020-11-01,34
2020-11-08,42
2020-11-15,44
2020-11-22,46
2020-11-29,41
2020-12-06,45
2020-12-13,40
2020-12-20,36
2020-12-27,45
2021-01-03,31
2021-01-10,44
2021-01-17,44
2021-01-24,39
2021-01-31,37
2021-02-07,41
2021-02-14,47
2021-02-21,48
2021-02-28,57
2021-03-07,58
2021-03-14,45
2021-03-21,63
2021-03-28,45
2021-04-04,62
2021-04-11,54
2021-04-18,64
2021-04-25,62
2021-05-02,68
2021-05-09,62
2021-05-16,69
2021-05-23,72
2021-05-30,69
2021-06-06,65
2021-06-13,76
2021-06-20,74
2021-06-27,79
2021-07-04,74
2021-07-11,73
2021-07-18,80
2021-07-25,81
2021-08-01,76
2021-08-08,74
2021-08-15,67
2021-08-22,49
2021-08-29,47
2021-09-05,57
2021-09-12,52
2021-09-19,54
2021-09-26,41
2021-10-03,65
2021-10-10,71
2021-10-17,64
2021-10-24,49
2021-10-31,61
2021-11-07,52
2021-11-14,58
2021-11-21,66
2021-11-28,54
2021-12-05,47
2021-12-12,60
2021-12-19,73
